Date,FTSE 100
2018-02,18979.51303110886
2018-03,18953.87735839467
2018-04,19745.43967064142
2018-05,19721.67406552711
2018-06,19401.918885074294
2018-07,19691.088675591614
2018-08,18795.380501840897
2018-09,19110.481476813755
2018-10,17748.682836617394
2018-11,17489.14432372214
2018-12,16939.93575979025
2019-01,17990.477238593903
2019-02,18657.48237865498
2019-03,18965.542932981203
2019-04,19282.50545332441
2019-05,18103.899416771445
2019-06,19001.934539782284
2019-07,18626.40107457419
2019-08,17889.50218119443
2019-09,18583.088875073663
2019-10,19209.242257372935
2019-11,19459.122268799554
2019-12,20493.93648343584
2020-01,19694.822992391684
2020-02,17563.842116577107
2020-03,14608.137671099612
2020-04,15368.159318900063
2020-05,15686.029914482719
2020-06,15831.691202634407
2020-07,16259.287917900063
2020-08,16755.36275348645
