Date,S&P 500
2007-11,48707.798595191605
2007-12,48369.8727534706
2008-01,45468.58057303934
2008-02,43991.49732272631
2008-03,43801.53987805978
2008-04,45934.82259522516
2008-05,46529.80026888091
2008-06,42607.15911164431
2008-07,42248.99379392647
2008-08,42860.121101279175
2008-09,39040.96344100455
2008-10,32484.128265843945
2008-11,30153.232758168673
2008-12,30474.065156431232
2009-01,27905.518350807797
2009-02,24934.216459622767
2009-03,27118.381009708657
2009-04,29713.857853860496
2009-05,31375.801976127907
2009-06,31438.093420387548
2009-07,33815.864812884465
2009-08,35036.73517327298
2009-09,36344.226296217836
2009-10,35669.08771348452
2009-11,37808.599575075874
2009-12,38538.89859498187
2010-01,37152.54692307531
2010-02,38303.36562560954
2010-03,40614.86059929823
2010-04,41256.02203061719
2010-05,37961.70649194301
2010-06,35974.46260520857
2010-07,38494.85413944475
2010-08,36757.195500754
2010-09,40037.45876075681
2010-10,41560.97745133612
2010-11,41566.220838900066
2010-12,44344.167570277124
2011-01,45395.15217359388
2011-02,46950.340925059405
2011-03,46969.007384787044
2011-04,48359.97323774988
2011-05,47812.563576074215
2011-06,47015.56866635486
2011-07,46059.59424569675
2011-08,43557.449700183104
2011-09,40495.52109834288
2011-10,44921.35967331598
2011-11,44822.15478060618
2011-12,45280.63658919736
2012-01,47309.82757644335
2012-02,49355.58766839139
2012-03,50979.77940019841
2012-04,50659.93275879788
2012-05,47615.202468167394
2012-06,49577.06835909235
2012-07,50265.63001398936
2012-08,51397.78225679595
2012-09,52726.03719449403
2012-10,51752.44499162107
2012-11,52052.57649578117
2012-12,52526.99820256674
2013-01,55247.68714174555
2013-02,55997.70129889197
2013-03,58097.78288600246
2013-04,59217.14126315305
2013-05,60602.23452204425
2013-06,59788.46077212026
2013-07,62830.883972222626
2013-08,61011.21875203181
2013-09,62924.42600636338
2013-10,65816.88832213698
2013-11,67822.58893309647
2013-12,69539.69349253656
2014-01,67135.28569121481
2014-02,70206.44265516757
2014-03,70796.42862386245
2014-04,71319.71870274396
2014-05,72994.03721966228
2014-06,74501.82574754975
2014-07,73474.33152051947
2014-08,76413.77458886598
2014-09,75342.23590629856
2014-10,77182.45520574004
2014-11,79258.20747455384
2014-12,79058.53927611889
2015-01,76685.17232917568
2015-02,81092.5541799237
2015-03,79810.0215817832
2015-04,80575.76590162146
2015-05,81611.85928425663
2015-06,80031.92174348929
2015-07,81708.75708643829
2015-08,76778.92409881898
2015-09,74879.13991665111
2015-10,81195.53431167954
2015-11,81436.93987512348
2015-12,80152.51965745998
2016-01,76175.09558695529
2016-02,76072.325190702
2016-03,81232.86723113482
2016-04,81547.88995597651
2016-05,83012.26323483455
2016-06,83227.45186045878
2016-07,86295.88226287828
2016-08,86417.10938335666
2016-09,86433.25901705361
2016-10,84856.67724432718
2016-11,87999.35401465211
2016-12,89738.69053736333
2017-01,91440.69414061928
2017-02,95071.63516089859
2017-03,95182.37550624907
2017-04,96159.95268367059
2017-05,97513.16614617304
2017-06,98121.81857459559
2017-07,100139.4741092009
2017-08,100446.10741394028
2017-09,102518.08444370804
2017-10,104910.32758588144
2017-11,108127.87993061949
2017-12,109330.08383128037
2018-01,115589.63990511566
2018-02,111329.49237716316
2018-03,108500.16044765944
2018-04,108916.48542023654
2018-05,111539.43761522348
2018-06,112225.90191509487
2018-07,116402.36497752684
2018-08,120195.22180578073
2018-09,120879.37901512402
2018-10,112617.26836286756
2018-11,114912.19423185421
2018-12,104536.78865582614
2019-01,112913.83436348423
2019-02,116539.32226069704
2019-03,118803.83648181279
2019-04,123614.12023297421
2019-05,115758.6867201772
2019-06,123916.97829866756
2019-07,125698.05218638775
2019-08,123706.82332510469
2019-09,126021.46433133176
2019-10,128750.96216161796
2019-11,133424.49836511177
2019-12,137451.62974972263
2020-01,137397.7277255653
2020-02,126087.32127913486
2020-03,110513.83100771617
2020-04,124681.04473448535
2020-05,130619.28601840221
2020-06,133217.06995308216
2020-07,140728.53724168453
2020-08,150844.08053004357
2020-09,145112.4287161461
2020-10,141253.50520458652
2020-11,156715.62592414705
2020-12,162741.11717712792
2021-01,161098.0492500907
2021-02,165540.24719426333
2021-03,172790.17431117618
2021-04,182011.8248876342
2021-05,183283.03176863657
2021-06,187561.8457563167
2021-07,192017.2570371504
2021-08,197855.66422184982
2021-09,188653.51904712967
2021-10,201870.84068281492
2021-11,200472.11461625743
2021-12,209456.55433932267
2022-01,198617.8430381446
2022-02,192670.79286312035
2022-03,199824.6611198617
2022-04,182399.62583186344
2022-05,182734.153958443
2022-06,167650.60582099913
2022-07,183108.74156601107
2022-08,175641.3187329459
2022-09,159464.83889167372
2022-10,172375.317487117
2022-11,182008.46911959327
2022-12,171522.11346271218
2023-01,182299.58199714337
2023-02,177851.5114588992
2023-03,184381.2068600288
2023-04,187259.1974261259
2023-05,188073.18091155245
2023-06,200500.21917360017
2023-07,206941.1964571479
2023-08,203646.4614474686
2023-09,193936.9660920613
2023-10,189859.07871583148
2023-11,207198.1224477811
2023-12,216611.26153807432
