Date,Nordic Countries
2005-05,3745.77
2005-06,3788.81
2005-07,3931.66
2005-08,4013.71
2005-09,4162.202
2005-10,3953.452
2005-11,4007.954
2005-12,4252.863
2006-01,4492.233
2006-02,4533.492
2006-03,4910.191
2006-04,5153.611
2006-05,4831.716
2006-06,4763.817
2006-07,4737.719
2006-08,4901.641
2006-09,4927.019
2006-10,5210.099
2006-11,5471.011
2006-12,5800.854
2007-01,5949.339
2007-02,5859.978
2007-03,6151.46
2007-04,6658.251
2007-05,6734.735
2007-06,6732.601
2007-07,6781.544
2007-08,6701.512
2007-09,7316.413
2007-10,7408.042
2007-11,7015.929
2007-12,6890.661
2008-01,6057.751
2008-02,6492.863
2008-03,6430.825
2008-04,6541.744
2008-05,6696.254
2008-06,5923.449
2008-07,5782.859
2008-08,5501.39
2008-09,4260.914
2008-10,3186.937
2008-11,2954.443
2008-12,3116.409
2009-01,2825.916
2009-02,2561.69
2009-03,2777.543
2009-04,3345.75
2009-05,3689.649
2009-06,3603.484
2009-07,3989.351
2009-08,4234.693
2009-09,4365.84
2009-10,4381.274
2009-11,4475.667
2009-12,4469.807
2010-01,4411.878
2010-02,4406.977
2010-03,4746.968
2010-04,4779.957
2010-05,4098.422
2010-06,4091.088
2010-07,4595.019
2010-08,4355.954
2010-09,5088.232
2010-10,5192.537
2010-11,4915.478
2010-12,5475.195
2011-01,5622.595
2011-02,5653.381
2011-03,5752.704
2011-04,6106.903
2011-05,5780.584
2011-06,5498.165
2011-07,5234.059
2011-08,4718.436
2011-09,4100.88
2011-10,4690.498
2011-11,4506.097
2011-12,4390.937
2012-01,4627.56
2012-02,5170.511
2012-03,5033.729
2012-04,4892.727
2012-05,4149.216
2012-06,4469.711
2012-07,4697.053
2012-08,4809.833
2012-09,4967.589
2012-10,4903.434
2012-11,5038.852
2012-12,5209.25
2013-01,5642.894
2013-02,5596.245
2013-03,5489.05
2013-04,5580.573
2013-05,5473.532
2013-06,5138.304
2013-07,5625.31
2013-08,5539.275
2013-09,5932.585
2013-10,6067.946
2013-11,6166.518
2013-12,6353.987
2014-01,6135.703
2014-02,6704.288
2014-03,6595.037
2014-04,6606.907
2014-05,6651.084
2014-06,6633.724
