Date,Shanghai Composite
2016-11,3250.033935546875
2016-12,3103.636962890625
2017-01,3159.166015625
2017-02,3241.73291015625
2017-03,3222.513916015625
2017-04,3154.657958984375
2017-05,3117.177978515625
2017-06,3192.427001953125
2017-07,3273.028076171875
2017-08,3360.81005859375
2017-09,3348.943115234375
2017-10,3393.342041015625
2017-11,3317.18798828125
2017-12,3307.172119140625
2018-01,3480.8330078125
2018-02,3259.407958984375
2018-03,3168.89697265625
2018-04,3082.23193359375
2018-05,3095.47412109375
2018-06,2847.41796875
2018-07,2876.40087890625
2018-08,2725.25
2018-09,2821.35009765625
2018-10,2602.782958984375
2018-11,2588.18798828125
2018-12,2493.89599609375
2019-01,2584.572021484375
2019-02,2940.9541015625
2019-03,3090.758056640625
2019-04,3078.339111328125
2019-05,2898.696044921875
2019-06,2978.8779296875
2019-07,2932.510009765625
2019-08,2886.239990234375
2019-09,2905.18994140625
2019-10,2929.06005859375
2019-11,2871.97998046875
2019-12,3050.1240234375
2020-01,2976.528076171875
2020-02,2880.303955078125
2020-03,2750.2958984375
2020-04,2860.08203125
2020-05,2852.35107421875
2020-06,2984.674072265625
2020-07,3310.007080078125
2020-08,3395.677978515625
2020-09,3218.052001953125
2020-10,3224.532958984375
2020-11,3391.760009765625
2020-12,3473.069091796875
2021-01,3483.069091796875
2021-02,3509.080078125
2021-03,3441.909912109375
2021-04,3446.860107421875
2021-05,3615.47998046875
2021-06,3591.199951171875
2021-07,3397.360107421875
2021-08,3543.93994140625
2021-09,3568.169921875
2021-10,3547.340087890625
2021-11,3563.889892578125
2021-12,3639.780029296875
2022-01,3361.43994140625
2022-02,3462.31005859375
2022-03,3252.199951171875
2022-04,3047.06005859375
2022-05,3186.429931640625
2022-06,3398.6201171875
2022-07,3253.239990234375
2022-08,3202.139892578125
2022-09,3024.389892578125
2022-10,2893.47998046875
2022-11,3151.340087890625
2022-12,3089.260009765625
2023-01,3255.669921875
2023-02,3279.610107421875
2023-03,3272.860107421875
2023-04,3323.27001953125
2023-05,3204.56005859375
2023-06,3202.06005859375
2023-07,3291.0400390625
2023-08,3119.8798828125
2023-09,3110.47509765625
2023-10,3018.77099609375
2023-11,3029.673095703125
2023-12,2974.93505859375
2024-01,2910.22265625
