Date,MSCI Japan
2005-01,68494.42653861767
2005-02,69905.66549504572
2005-03,68459.18437971742
2005-04,66697.787263813
2005-05,66090.1219071919
2005-06,66024.46374490962
2005-07,66682.14902345176
2005-08,71321.69319493366
2005-09,78690.70890238634
2005-10,77746.97102623148
2005-11,81065.6076560036
2005-12,88017.75950406575
2006-01,92455.69009347403
2006-02,91671.49593985638
2006-03,93983.61725967897
2006-04,96717.40988838112
2006-05,90702.33657009991
2006-06,89696.60691337426
2006-07,89200.1676060211
2006-08,90538.78975732668
2006-09,89054.26057872713
2006-10,90604.4105075507
2006-11,91246.66331205211
2006-12,93514.02110414208
2007-01,94305.06166442507
2007-02,98098.6443740682
2007-03,96801.96114009507
2007-04,94917.88988508887
2007-05,96466.8613340766
2007-06,96177.66612356828
2007-07,96021.17148378094
2007-08,93200.43323163489
2007-09,95350.48551498634
2007-10,94986.59713012101
2007-11,93245.58958597944
2007-12,89554.83391852028
2008-01,85461.89862454568
2008-02,86050.57736158941
2008-03,82560.27550239717
2008-04,88558.75657283099
2008-05,90787.74829915432
2008-06,84598.70890986874
2008-07,81715.49252039427
2008-08,78464.72136434294
2008-09,69668.82846010098
2008-10,59370.18670487684
2008-11,58630.512900613
2008-12,63395.05075881007
2009-01,59086.22918252783
2009-02,51770.07671342551
2009-03,52857.06536073642
2009-04,57944.95563865189
2009-05,63914.143067452074
2009-06,65038.1322404024
2009-07,67819.68136149962
2009-08,70488.41442085199
2009-09,69274.44924773704
2009-10,67537.14549736526
2009-11,66844.66700462226
2009-12,67360.18646169845
2010-01,68638.81837755127
2010-02,69406.98146419572
2010-03,72873.26478197188
2010-04,72759.3263584786
2010-05,66875.45712858712
2010-06,65533.59883424026
2010-07,67866.50255243767
2010-08,66316.20297538099
2010-09,69351.667736028
2010-10,70766.4608379927
2010-11,72253.96427522556
2010-12,77758.28817386132
2011-01,77856.83153537217
2011-02,81407.06751192977
2011-03,73928.17258930726
2011-04,74197.78258730572
2011-05,72989.54145910768
2011-06,74058.74067270622
2011-07,76681.58784257754
2011-08,70449.09434759918
2011-09,69290.16231221484
2011-10,69119.22661793123
2011-11,66067.33796369909
2011-12,66614.52672810973
2012-01,69626.04777145722
2012-02,73139.73216707478
2012-03,74118.52514183847
2012-04,71751.46421443096
2012-05,65346.35148254636
2012-06,68705.4305473197
2012-07,67064.72473142818
2012-08,66577.69455673257
2012-09,68126.17964896266
2012-10,66850.48457968487
2012-11,68437.89691855584
2012-12,72063.53689857777
2013-01,74709.39248429162
2013-02,76701.28529126223
2013-03,80446.60644572352
2013-04,87502.3522831644
2013-05,82545.9279780466
2013-06,83988.94847798393
2013-07,84495.35809886885
2013-08,82677.3004206986
2013-09,89583.49155516314
2013-10,89582.61237179356
2013-11,90914.8557671623
2013-12,91638.33015019071
2014-01,88102.83452459563
2014-02,87630.22669836716
2014-03,86501.78549048144
2014-04,84268.3230231936
2014-05,87675.9816456442
2014-06,92260.75456380346
2014-07,92794.9239319325
2014-08,90780.04141514852
2014-09,90134.440231431
2014-10,88959.73901348142
2014-11,89232.80962687085
2014-12,87952.69993471597
2015-01,90006.86511269448
2015-02,95468.3709106282
2015-03,96931.70615821186
2015-04,100364.63662603094
2015-05,101672.5247714591
2015-06,99929.21638573329
2015-07,100399.56078243577
2015-08,94564.51428860036
2015-09,88133.34405812337
2015-10,97026.00325110786
2015-11,96056.97482355539
2015-12,96368.8604474108
2016-01,88441.99353893753
2016-02,86016.47627046674
2016-03,90085.63620140408
2016-04,94273.56071135288
2016-05,93294.46844012293
2016-06,90995.7593431939
2016-07,96893.86386126112
2016-08,97263.81299956789
2016-09,98821.3331038727
2016-10,100125.18074700657
2016-11,97710.28850308743
2016-12,98658.42229609026
2017-01,102329.06898222366
2017-02,103473.22325458718
2017-03,103092.21885305854
2017-04,104173.85757603533
2017-05,107307.84699216404
2017-06,108446.07145329013
2017-07,110640.00808100458
2017-08,110582.95469212682
2017-09,112750.10428611246
2017-10,117947.85507316864
2017-11,121475.68122681622
2017-12,122322.447047908
2018-01,127928.56915712504
2018-02,126001.90427376649
2018-03,123341.55151546896
2018-04,124164.52326749435
2018-05,122941.4482581881
2018-06,119844.75866416506
2018-07,120323.40853780582
2018-08,120589.67015658815
2018-09,124253.0776094443
2018-10,113747.17305134618
2018-11,114196.92210996525
2018-12,106567.96742157963
2019-01,113068.38737193383
2019-02,113031.40555232359
2019-03,113670.51574392944
2019-04,115247.00376178244
2019-05,110683.14418420201
2019-06,114825.4259830486
2019-07,114985.3812382269
2019-08,113820.238801168
2019-09,118420.81831395079
2019-10,124167.36658392366
2019-11,124864.59640806829
2019-12,127468.23248601257
2020-01,125734.14617265291
2020-02,114235.90547469356
2020-03,106070.61151879863
2020-04,111787.4546144968
2020-05,118407.01326444527
2020-06,118390.3461924813
2020-07,116511.1572110807
2020-08,125379.96621691137
2020-09,126607.04431645364
2020-10,124583.1080815658
2020-11,140147.70280609143
2020-12,145931.02712935407
2021-01,144470.3855499666
2021-02,146658.16789409396
2021-03,148215.5196441365
2021-04,145958.76817056906
2021-05,148229.77363834137
2021-06,147799.46014399902
2021-07,145928.09028277904
2021-08,150407.99720157805
2021-09,154545.45284490648
2021-10,149346.84158050982
2021-11,145665.19574924195
2021-12,148424.26022331257
2022-01,140894.46619539944
2022-02,139319.3250116445
2022-03,138619.51375547852
2022-04,126414.9146911541
2022-05,128485.65341095088
2022-06,118343.74947389295
2022-07,125088.22698644
2022-08,121893.48038766375
2022-09,109264.02998950591
2022-10,112502.62352058692
2022-11,123389.64471638855
2022-12,123718.51541470332
2023-01,131406.88045163837
2023-02,126362.5378095614
2023-03,131372.2742977289
2023-04,131853.09407074994
2023-05,134306.20273220263
2023-06,139806.18683207786
2023-07,144026.58500861414
2023-08,140537.33068705373
2023-09,137585.51928872196
2023-10,131388.92266366372
2023-11,142629.2446318373
