Date,Copper
2020-10,3.0434999465942383
2020-12,3.5139999389648438
2021-01,3.573499917984009
2021-02,4.0945000648498535
2021-03,4.002999782562256
2021-04,4.479000091552734
2021-05,4.682499885559082
2021-06,4.296500205993652
2021-07,4.480500221252441
2021-09,4.090000152587891
2021-10,4.375500202178955
2021-11,4.2779998779296875
2021-12,4.454999923706055
2022-01,4.317999839782715
2022-02,4.444499969482422
2022-03,4.743000030517578
2022-04,4.394999980926514
2022-06,3.7144999504089355
2022-07,3.5840001106262207
2022-08,3.5185000896453857
2022-09,3.441999912261963
2022-10,3.4135000705718994
2022-11,3.7295000553131104
2022-12,3.805500030517578
2023-02,4.097499847412109
2023-03,4.104499816894531
2023-04,3.869999885559082
2023-05,3.63100004196167
2023-06,3.740999937057495
2023-07,3.994499921798706
