Date,MSCI USA
2002-06,209778.79269840807
2002-07,194698.17460201654
2002-08,195625.02735908248
2002-09,173550.40637357187
2002-10,189315.2933623218
2002-11,200710.97135686458
2002-12,188590.0952825646
2003-01,184035.79297564676
2003-02,181234.73363197292
2003-03,182922.53366991083
2003-04,198205.3901040375
2003-05,208840.2667328148
2003-06,211428.80072373888
2003-07,215354.93849678262
2003-08,219395.83850116003
2003-09,216863.18999606028
2003-10,229242.33580902626
2003-11,231461.8504953818
2003-12,243489.26794391024
2004-01,247900.5734463689
2004-02,250908.46745363547
2004-03,246923.45293508237
2004-04,243132.28663563542
2004-05,246366.42201567127
2004-06,251020.60321305064
2004-07,242473.69880203693
2004-08,243715.21748646637
2004-09,246391.30054134503
2004-10,250159.26633884406
2004-11,260446.28135350853
2004-12,269575.9707002466
2005-01,262902.1055549881
2005-02,268385.01160025096
2005-03,264098.6094290342
2005-04,259326.89361329578
2005-05,267804.561306232
2005-06,268475.6978389973
2005-07,278563.39281805843
2005-08,275976.75572352007
2005-09,278341.6018560401
2005-10,273775.3345103819
2005-11,284837.8153590241
2005-12,284997.81127340114
2006-01,292776.69152087317
2006-02,293073.77467789245
2006-03,296832.62078122946
2006-04,300745.69915223325
2006-05,291846.4097588023
2006-06,292173.7703004392
2006-07,293149.3587031065
2006-08,300230.9106561803
2006-09,307874.23576962925
2006-10,318395.37157281896
2006-11,324713.5686457619
2006-12,328657.28918914974
2007-01,334613.4708826404
2007-02,328493.4265244481
2007-03,332046.31345483195
2007-04,346279.74844235624
2007-05,358406.31520581327
2007-06,352413.6547356748
2007-07,341505.33319714596
2007-08,346691.08312783623
2007-09,359850.72884595743
2007-10,365915.1065909854
2007-11,350469.33594034996
2007-12,348468.25616856106
2008-01,327319.6124494769
2008-02,317143.5658733749
2008-03,315975.22361490084
2008-04,331615.3531875156
2008-05,336906.6726978244
2008-06,309446.76287336025
2008-07,305907.6649205492
2008-08,310097.5442487561
2008-09,281653.65590299567
2008-10,233486.34964177842
2008-11,216258.59075190054
2008-12,219062.64135525952
2009-01,201216.34832854252
2009-02,180593.7285687187
2009-03,196068.6092831191
2009-04,214894.6492930413
2009-05,226717.93150744902
2009-06,227231.04197977617
2009-07,244358.9949367458
2009-08,252857.7473625845
2009-09,262665.9419549706
2009-10,257578.10106080287
2009-11,272902.324427648
2009-12,278523.99573927897
2010-01,268753.3742868399
2010-02,277047.6266907912
2010-03,293638.75797061267
2010-04,298343.790582639
2010-05,274289.174558242
2010-06,259703.5734609604
2010-07,277854.17244247295
2010-08,265512.08906658104
2010-09,289651.5547254607
2010-10,301058.1763529979
2010-11,301393.7810981571
2010-12,321550.1291348694
2011-01,329259.69970671064
2011-02,340298.6152656385
2011-03,340703.675601535
2011-04,351129.091094801
2011-05,347322.96849692846
2011-06,341433.8347949163
2011-07,334783.5349393723
2011-08,316266.0324223367
2011-09,293518.96166810143
2011-10,325766.7109275824
2011-11,324873.41864503233
2011-12,327949.30909197027
2012-01,343393.62059153983
2012-02,358523.3391212993
2012-03,370004.23153809115
2012-04,367773.77321874135
2012-05,345178.2353027009
2012-06,358827.28028832824
2012-07,363691.7981118585
2012-08,372228.269592751
2012-09,381719.82840383466
2012-10,374831.10326412093
2012-11,377272.5548276013
2012-12,380858.85631739453
2013-01,401012.7237972947
2013-02,406165.7887441087
2013-03,421443.7570221644
2013-04,429778.792698408
2013-05,438835.15970408416
2013-06,432984.3287175522
2013-07,455765.5436067296
2013-08,443192.2577444443
2013-09,457871.75521281717
2013-10,478200.21011775354
2013-11,491839.40583368595
2013-12,505048.4438153882
2014-01,487902.5433003079
2014-02,510843.7541038624
2014-03,514352.1369267361
2014-04,517442.9107145463
2014-05,529791.9250580013
2014-06,541142.5882421607
2014-07,533529.8323435426
2014-08,554943.6767688559
2014-09,546274.2766258591
2014-10,559457.4146761415
2014-11,574293.9167992062
2014-12,572541.841156815
2015-01,556379.3355026046
2015-02,588928.6912874088
2015-03,580427.2394320983
2015-04,585734.7555192389
2015-05,593540.3382312171
2015-06,582298.6736316811
2015-07,593935.5492974188
2015-08,557905.0968146732
2015-09,543130.0979090366
2015-10,587945.8071294121
2015-11,589996.6439525484
2015-12,580083.6093560766
2016-01,549251.2366305284
2016-02,548093.3273021756
2016-03,585630.8639633461
2016-04,588524.5793997053
2016-05,599290.1959639882
2016-06,600840.5439715174
2016-07,623642.8435935972
2016-08,624586.4036303678
2016-09,625261.9176163308
2016-10,613412.3706827367
2016-11,635565.2751229334
2016-12,647424.087665796
2017-01,660835.0721550202
2017-02,686817.4456101441
2017-03,687786.7596632281
2017-04,695221.5720893583
2017-05,704702.989800534
2017-06,709118.2350108706
2017-07,723565.0708417842
2017-08,725937.5045598471
2017-09,740741.686486802
2017-10,757703.8798826842
2017-11,780768.7537390746
2017-12,789232.4135817781
2018-01,834528.5482906046
2018-02,803905.4178279077
2018-03,784288.9556855821
2018-04,787439.0439642215
2018-05,806640.0857980826
2018-06,812117.8848146149
2018-07,841272.0878992602
2018-08,869130.2730071644
2018-09,873104.562765383
