Date,Dow Jones Industrial Average
2015-01,119392.69216074469
2015-02,126570.3171129867
2015-03,124228.26577749992
2015-04,124785.38432148936
2015-05,126472.12670626235
2015-06,123863.39481087841
2015-07,124511.58348094892
2015-08,116797.05463512904
2015-09,115218.22791844676
2015-10,125118.16192560173
2015-11,126000.69466152617
2015-12,124087.49261922129
2016-01,117403.7025459345
2016-02,118281.02532041263
2016-03,126816.3662255566
2016-04,127597.92990865202
2016-05,128227.71004827898
2016-06,129439.99861067695
2016-07,133239.1719634608
2016-08,133585.3912681046
2016-09,133036.0876662846
2016-10,131984.4048487374
2016-11,139745.1286860477
2016-12,144557.84793859193
2017-01,145454.27390503976
2017-02,152970.89368205343
2017-03,152060.67868431107
2017-04,154262.61678996912
2017-05,155361.9533882116
2017-06,158070.36921260116
2017-07,162302.55982772392
2017-08,163362.4396512799
2017-09,166897.15536105033
2017-10,174308.98544684102
2017-11,181694.38366156092
2017-12,185189.6773297211
2018-01,196076.23910249732
2018-02,188312.70188600605
2018-03,181550.8318571776
2018-04,182173.97797922962
2018-05,184742.62790455352
2018-06,183845.61147580843
2018-07,192733.84043624744
2018-08,197660.83150984684
2018-09,201550.90132333018
2018-10,191508.00597408914
2018-11,195540.13406967456
2018-12,178746.03174603172
2019-01,191781.3900177139
2019-02,199512.7296724671
2019-03,199860.23410093432
2019-04,205177.65968531833
2019-05,192217.2901253864
2019-06,206270.64013059638
2019-07,208571.25490604705
2019-08,205809.97533951583
2019-09,210036.0876662846
2019-10,211265.70803376054
2019-11,219941.47476642005
2019-12,224047.3759160849
2020-01,222061.33861276094
2020-02,200400.50710291413
2020-03,173110.7290472717
2020-04,192531.7286652079
2020-05,201498.59331040952
2020-06,205158.31336181445
2020-07,210297.9055954986
2020-08,226951.7210239311
2020-09,222014.90048973638
2020-10,211989.0243478865
2020-11,237730.67972630332
2020-12,245834.11482755028
2021-01,241035.94873397937
2021-02,249311.62516064048
2021-03,266209.33625091176
2021-04,273622.1735959154
2021-05,279668.50751971104
2021-06,279722.48272029456
2021-07,283465.4232225348
2021-08,287717.37695807725
2021-09,275638.2897433226
2021-10,291971.44941127434
2021-11,281746.8306067868
2021-12,297325.20579347713
2022-01,287688.54850474105
2022-02,278213.46948699246
2022-03,285127.53985620505
2022-04,271377.4096071689
2022-05,272261.2274669168
2022-06,254397.8326560383
2022-07,271741.27331457747
2022-08,261629.71067347436
2022-09,238705.81084366638
2022-10,272282.3799103887
2022-11,288737.86947309924
2022-12,276921.53798061894
2023-01,285029.1410510229
2023-02,273793.0255982772
2023-03,279495.3284012365
2023-04,286685.49199402594
2023-05,277606.4395123477
2023-06,290587.7183842173
2023-07,300596.1932548366
2023-08,294553.228439443
2023-09,284489.49324441666
2023-10,280905.109235525
2023-11,306620.78427286306
2023-12,321734.465631621
