Date,SPDR Dow Jones Industrial Average ETF
2015-11,148.89752197265625
2015-12,146.64840698242188
2016-01,138.86380004882812
2016-02,139.4355010986328
2016-03,149.8666534423828
2016-04,150.996337890625
2016-05,151.15699768066406
2016-06,152.84121704101562
2016-07,157.53671264648438
2016-08,157.489013671875
2016-09,157.04884338378906
2016-10,155.9683074951172
2016-11,164.9387664794922
2016-12,170.68470764160156
2017-01,171.79286193847656
2017-02,180.30075073242188
2017-03,179.3663330078125
2017-04,182.1029052734375
2017-05,183.06622314453125
2017-06,186.4384307861328
2017-07,191.5653076171875
2017-08,192.4937286376953
2017-09,196.7421417236328
2017-10,205.78927612304688
2017-11,214.07089233398438
2017-12,218.59603881835938
2018-01,231.54898071289062
2018-02,221.7168731689453
2018-03,214.46649169921875
2018-04,214.98284912109375
2018-05,217.44900512695312
2018-06,216.7676239013672
2018-07,227.3231964111328
2018-08,232.69822692871094
2018-09,237.27162170410156
2018-10,225.87884521484375
2018-11,229.9040069580078
2018-12,210.32901000976562
2019-01,226.19837951660156
2019-02,234.64971923828125
2019-03,235.15733337402344
2019-04,241.71266174316406
2019-05,225.8691864013672
2019-06,242.51437377929688
2019-07,245.5334930419922
2019-08,241.71719360351562
2019-09,246.9880828857422
2019-10,248.7739715576172
2019-11,258.5691223144531
2019-12,262.87420654296875
2020-01,261.19842529296875
2020-02,235.54266357421875
2020-03,203.41062927246094
2020-04,226.34646606445312
2020-05,236.77928161621094
2020-06,240.582275390625
2020-07,247.3401641845703
2020-08,266.19769287109375
2020-09,260.4151611328125
2020-10,249.33578491210938
2020-11,279.13812255859375
2020-12,288.4044189453125
2021-01,283.3133544921875
2021-02,292.54364013671875
2021-03,312.73675537109375
2021-04,321.689208984375
2021-05,328.1562194824219
2021-06,328.1766662597656
2021-07,332.97113037109375
2021-08,337.4009704589844
2021-09,323.06536865234375
2021-10,342.83258056640625
2021-11,330.18621826171875
2021-12,348.50030517578125
2022-01,337.38092041015625
2022-02,326.3414611816406
2022-03,334.0489196777344
2022-04,318.2518005371094
2022-05,318.8603210449219
2022-06,297.957763671875
2022-07,318.86566162109375
2022-08,306.37139892578125
2022-09,279.3929138183594
2022-10,319.25531005859375
2022-11,337.7208557128906
2022-12,323.9180603027344
2023-01,333.95819091796875
2023-02,320.2568664550781
2023-03,326.7245178222656
2023-04,335.8769836425781
2023-05,324.7176818847656
2023-06,339.57244873046875
2023-07,351.9387512207031
2023-08,344.5199890136719
2023-09,332.2727966308594
2023-10,328.7055358886719
2023-11,358.26751708984375
2023-12,375.8154296875
2024-01,381.15325927734375
2024-02,386.7200012207031
