Date,MSCI India
2011-05,66848.99999999999
2011-06,68030.79999999999
2011-07,66472.49999999999
2011-08,58261.899999999994
2011-09,54465.09999999999
2011-10,59128.899999999994
2011-11,49688.59999999999
2011-12,46706.399999999994
2012-01,56503.899999999994
2012-02,59226.700000000004
2012-03,56071.299999999996
2012-04,53417.799999999996
2012-05,47223.39999999999
2012-06,50724.899999999994
2012-07,50510.19999999999
2012-08,51079.299999999996
2012-09,58551.19999999998
2012-10,56329.6
2012-11,58845.69999999999
2012-12,58834.99999999999
2013-01,61782.79999999999
2013-02,57253.099999999984
2013-03,57333.29999999999
2013-04,59730.899999999994
2013-05,57971.29999999999
2013-06,54120.59999999999
2013-07,52617.399999999994
2013-08,46962.59999999999
2013-09,51278.799999999996
2013-10,56693.29999999999
2013-11,54769.799999999996
2013-12,56580.499999999985
2014-01,54432.299999999996
2014-02,56297.899999999994
2014-03,61198.99999999999
2014-04,60522.09999999999
2014-05,66317.29999999999
2014-06,68950.9
2014-07,69786.8
2014-08,71578.29999999999
2014-09,70563.9
2014-10,73352.99999999999
2014-11,74527.1
2014-12,70085.79999999997
2015-01,75652.39999999998
2015-02,77058.29999999999
2015-03,73867.49999999999
2015-04,69036.8
2015-05,70990.2
2015-06,71198.89999999998
2015-07,72463.09999999999
2015-08,66098.99999999999
2015-09,66400.09999999999
2015-10,67442.79999999999
2015-11,64221.99999999999
2015-12,65793.79999999999
2016-01,61265.99999999999
2016-02,56731.59999999999
2016-03,64151.6
2016-04,64456.79999999999
2016-05,65668.29999999999
2016-06,66539.79999999999
2016-07,70316.29999999999
2016-08,71131.09999999999
2016-09,70479.79999999999
2016-10,70131.59999999999
2016-11,64901.99999999999
2016-12,64851.19999999998
2017-01,67673.09999999999
2017-02,71669.2
2017-03,75953.99999999999
2017-04,77419.59999999999
2017-05,78779.4
2017-06,78162.69999999998
2017-07,84184.6
2017-08,83552.99999999999
2017-09,80470.69999999998
2017-10,86402.9
2017-11,85794.09999999999
2017-12,89984.49999999999
2018-01,93082.39999999998
2018-02,86841.69999999998
2018-03,83727.69999999998
2018-04,87173.49999999999
2018-05,84040.4
2018-06,83222.49999999999
2018-07,88643.4
2018-08,89498.09999999999
2018-09,81350.29999999999
2018-10,75674.3
2018-11,83521.49999999999
2018-12,83411.19999999998
2019-01,81804.19999999998
2019-02,81829.99999999999
2019-03,89382.09999999999
2019-04,89883.09999999999
2019-05,90077.69999999998
2019-06,89830.59999999999
2019-07,85146.69999999998
2019-08,82657.09999999999
2019-09,85200.09999999999
2019-10,88885.09999999999
2019-11,88385.99999999997
2019-12,89729.69999999998
2020-01,89020.99999999999
2020-02,82547.09999999999
2020-03,61799.999999999985
2020-04,71777.49999999999
2020-05,69802.4
2020-06,74557.99999999999
2020-07,82380.9
2020-08,85285.69999999998
2020-09,85825.99999999999
2020-10,86850.89999999997
2020-11,94368.89999999998
2020-12,103992.69999999998
2021-01,101578.39999999998
2021-02,106929.40000000001
2021-03,109377.09999999999
2021-04,108378.69999999998
2021-05,117823.89999999998
2021-06,117042.39999999998
2021-07,118141.49999999999
2021-08,131085.1
2021-09,131912.59999999998
2021-10,130900.39999999997
2021-11,126950.39999999997
2021-12,131716.49999999997
2022-01,129924.29999999999
2022-02,124764
2022-03,129335.79999999999
2022-04,127188.69999999998
2022-05,119866.59999999998
2022-06,111848.6
2022-07,122340.09999999998
2022-08,127428.99999999999
2022-09,119400.19999999998
2022-10,122508.59999999998
2022-11,128912.5
2022-12,121854.29999999996
2023-01,118242.29999999999
2023-02,112878.40000000001
2023-03,114194.69999999997
2023-04,118970.89999999998
2023-05,122492.39999999998
2023-06,128312.59999999998
2023-07,132189.59999999998
2023-08,129742.99999999999
