Date,S&P 500 ETF
2011-01,100.87335968017578
2011-02,104.37742614746094
2011-03,103.93844604492188
2011-04,107.4132308959961
2011-05,106.20865631103516
2011-06,103.90185546875
2011-07,102.32816314697266
2011-08,96.70257568359375
2011-09,89.5262680053711
2011-10,99.81148529052734
2011-11,99.40589141845703
2011-12,99.81148529052734
2012-01,105.10260009765625
2012-02,109.66463470458984
2012-03,112.69794464111328
2012-04,112.43621826171875
2012-05,105.68375396728516
2012-06,109.40564727783203
2012-07,111.27352905273438
2012-08,114.0611343383789
2012-09,116.33171081542969
2012-10,114.82438659667969
2012-11,115.47422790527344
2012-12,115.68547821044922
2013-01,122.46988677978516
2013-02,124.0324935913086
2013-03,128.172119140625
2013-04,131.21559143066406
2013-05,134.3135223388672
2013-06,131.82369995117188
2013-07,139.36947631835938
2013-08,135.1894989013672
2013-09,138.7912139892578
2013-10,145.926025390625
2013-11,150.25091552734375
2013-12,153.31407165527344
2014-01,148.7130584716797
2014-02,155.48179626464844
2014-03,156.08274841308594
2014-04,157.8614501953125
2014-05,161.5248260498047
2014-06,164.07327270507812
2014-07,162.6441192626953
2014-08,169.06268310546875
2014-09,165.9544677734375
2014-10,170.65684509277344
2014-11,175.34519958496094
2014-12,173.9403076171875
2015-01,169.71823120117188
2015-02,179.25714111328125
2015-03,175.65774536132812
2015-04,178.17691040039062
2015-05,180.46762084960938
2015-06,175.9460906982422
2015-07,180.7957305908203
2015-08,169.77621459960938
2015-09,164.58856201171875
2015-10,179.5167999267578
2015-11,180.17300415039062
2015-12,176.0116424560547
2016-01,168.2439727783203
2016-02,168.1050262451172
2016-03,178.49215698242188
2016-04,180.119873046875
2016-05,183.18394470214844
2016-06,182.86976623535156
2016-07,190.52490234375
2016-08,190.75303649902344
2016-09,189.80538940429688
2016-10,187.45681762695312
2016-11,194.3624725341797
2016-12,197.1405487060547
2017-01,201.85107421875
2017-02,209.7821044921875
2017-03,209.13450622558594
2017-04,212.12930297851562
2017-05,215.12306213378906
2017-06,215.44381713867188
2017-07,220.94432067871094
2017-08,221.5889892578125
2017-09,224.93751525878906
2017-10,231.38058471679688
2017-11,238.45294189453125
2017-12,240.11752319335938
2018-01,254.94692993164062
2018-02,245.67691040039062
2018-03,237.9896240234375
2018-04,240.1776580810547
2018-05,246.0161590576172
2018-06,246.32489013671875
2018-07,256.59747314453125
2018-08,264.7879638671875
2018-09,265.16204833984375
2018-10,247.9555206298828
2018-11,252.55484008789062
2018-12,228.9806671142578
2019-01,248.75840759277344
2019-02,256.8221130371094
2019-03,260.32403564453125
2019-04,272.15240478515625
2019-05,254.7969512939453
2019-06,271.2082214355469
2019-07,276.6477966308594
2019-08,272.0157470703125
2019-09,276.0339660644531
2019-10,283.43841552734375
2019-11,293.6984558105469
2019-12,300.75335693359375
2020-01,302.1098937988281
2020-02,278.193115234375
2020-03,242.03160095214844
2020-04,274.3695983886719
2020-05,287.4420471191406
2020-06,291.2579345703125
2020-07,309.7679443359375
2020-08,331.388671875
2020-09,317.7084655761719
2020-10,311.0269775390625
2020-11,344.8594665527344
2020-12,356.11798095703125
2021-01,353.9915771484375
2021-02,363.83447265625
2021-03,379.1105651855469
2021-04,400.47686767578125
2021-05,403.1064758300781
2021-06,410.8031005859375
2021-07,422.2086486816406
2021-08,434.7734375
2021-09,413.1869812011719
2021-10,443.59417724609375
2021-11,440.02996826171875
2021-12,458.7686462402344
2022-01,436.099365234375
2022-02,423.2270202636719
2022-03,437.7762756347656
2022-04,400.5937194824219
2022-05,401.4979553222656
2022-06,366.8057556152344
2022-07,402.31439208984375
2022-08,385.899169921875
2022-09,348.7915954589844
2022-10,378.6890563964844
2022-11,399.740966796875
2022-12,374.982666015625
2023-01,400.3945617675781
2023-02,390.32757568359375
2023-03,403.260986328125
2023-04,411.2666931152344
2023-05,413.1651916503906
2023-06,438.31005859375
2023-07,454.3388366699219
2023-08,446.9549255371094
2023-09,424.25732421875
2023-10,416.51129150390625
2023-11,454.5570373535156
2023-12,473.39068603515625
2024-01,482.8800048828125
2024-02,501.20001220703125
