Date,Vanguard Small Cap Index Adm
2018-11,71.52999877929688
2018-12,63.22999954223633
2019-01,70.72000122070312
2019-02,74.12999725341797
2019-03,73.2300033569336
2019-04,75.87000274658203
2019-05,70.37000274658203
2019-06,75.08999633789062
2019-07,76.04000091552734
2019-08,72.98999786376953
2019-09,73.79000091552734
2019-10,74.9800033569336
2019-11,78.08999633789062
2019-12,79.37000274658203
2020-01,77.76000213623047
2020-02,71.0199966430664
2020-03,55.310001373291016
2020-04,63.40999984741211
2020-05,68.31999969482422
2020-06,69.9000015258789
2020-07,73.05000305175781
2020-08,76.0199966430664
2020-09,73.68000030517578
2020-10,75.16000366210938
2020-11,87.19999694824219
2020-12,93.22000122070312
2021-01,95.2699966430664
2021-02,101.12000274658203
2021-03,102.47000122070312
2021-04,106.61000061035156
2021-05,106.68000030517578
