Date,MSCI ACWI IMI
2005-11,23482.57318742338
2005-12,24091.29535090394
2006-01,25353.304056201716
2006-02,25316.88062325262
2006-03,25923.202667375892
2006-04,26766.163506509514
2006-05,25715.81938128815
2006-06,25683.80697850921
2006-07,25792.915107129655
2006-08,26471.240731971535
2006-09,26767.81764282332
2006-10,27795.26333201435
2006-11,28639.359362735886
2006-12,29269.390694023703
2007-01,29596.520475612848
2007-02,29503.272595177707
2007-03,30119.973533818986
2007-04,31439.649971782383
2007-05,32434.045368742663
2007-06,32333.240355736612
2007-07,31824.966430763037
2007-08,31686.732529401463
2007-09,33319.49480730934
2007-10,34649.615007881475
2007-11,33061.287372128776
2007-12,32682.717194584813
2008-01,30000.162170226846
2008-02,30134.893194688608
2008-03,29687.043896237003
2008-04,31324.055034088182
2008-05,31926.614728948683
2008-06,29304.873539657114
2008-07,28579.74558734813
2008-08,28021.134023962273
2008-09,24479.563308013156
2008-10,19533.468691416005
2008-11,18224.23601606134
2008-12,18954.066904948788
2009-01,17362.236392296265
2009-02,15672.455062630142
2009-03,16982.887797663454
2009-04,19104.528441414386
2009-05,21037.694847527553
2009-06,20966.210211534846
2009-07,22830.32453505796
2009-08,23708.379011280562
2009-09,24848.76004644555
2009-10,24412.814042644284
2009-11,25383.759624802962
2009-12,26001.17411244235
2010-01,24938.407747844754
2010-02,25289.376552779926
2010-03,26973.7089628241
2010-04,27153.166535849352
2010-05,24593.2446370306
2010-06,23816.6762887668
2010-07,25747.96152024858
2010-08,24841.170479829267
2010-09,27291.789645755358
2010-10,28296.9207117327
2010-11,27766.429465681536
2010-12,29868.80428648343
2011-01,30296.47960871568
2011-02,31198.632580647256
2011-03,31249.618899966918
2011-04,32535.30445838388
2011-05,31863.3034723889
2011-06,31347.083206299983
2011-07,30837.544353557045
2011-08,28542.446435174075
2011-09,25768.524705012358
2011-10,28565.766513794202
2011-11,27722.156993753204
2011-12,27650.672357760497
2012-01,29341.45914283305
2012-02,30830.86294021109
2012-03,31043.143767149504
2012-04,30719.257390097246
2012-05,27992.527195947045
2012-06,29338.34547447765
2012-07,29692.687420131166
2012-08,30389.82479128692
2012-09,31384.512094655514
2012-10,31182.642596280464
2012-11,31587.8086910268
2012-12,32362.787771067542
2013-01,33897.85870432476
2013-02,33944.790767973325
2013-03,34637.06303232377
2013-04,35578.52606724227
2013-05,35560.81707847093
2013-06,34537.198606633414
2013-07,36247.7701593809
2013-08,35507.98201856525
2013-09,37435.69950505647
2013-10,38903.794134627235
2013-11,39473.07649893941
2013-12,40186.2687225527
2014-01,38698.19472103478
2014-02,40603.078639586405
2014-03,40768.71930928457
2014-04,41042.397784106026
2014-05,41903.78116100909
2014-06,42814.302116645806
2014-07,42169.12408617078
2014-08,43162.77350008758
2014-09,41648.62252609319
2014-10,41985.90416388275
2014-11,42624.82242360161
2014-12,41939.97755564061
2015-01,41297.94562756635
2015-02,43625.21811895511
2015-03,43074.779935002174
2015-04,44277.693809638105
2015-05,44339.74013842851
2015-06,43377.065237838855
2015-07,43644.029865268974
2015-08,40734.047314785385
2015-09,39263.84447226565
2015-10,42244.987318288266
2015-11,42001.63467588659
