Date,US 2-Year Treasury Yield
1995-07,5.420000076293945
1995-08,5.269999980926514
1995-09,5.239999771118164
1995-10,5.309999942779541
1995-11,5.320000171661377
1995-12,4.960000038146973
1996-01,4.909999847412109
1996-02,4.880000114440918
1996-03,5.0
1996-04,5.010000228881836
1996-05,5.039999961853027
1996-06,5.03000020980835
1996-07,5.179999828338623
1996-08,5.139999866485596
1996-09,4.909999847412109
1996-10,5.010000228881836
1996-11,4.989999771118164
1996-12,5.050000190734863
1997-01,5.010000228881836
1997-02,5.070000171661377
1997-03,5.170000076293945
1997-04,5.099999904632568
1997-05,4.820000171661377
1997-06,5.050000190734863
1997-07,5.099999904632568
1997-08,5.090000152587891
1997-09,4.96999979019165
1997-10,5.059999942779541
1997-11,5.059999942779541
1997-12,5.199999809265137
1998-01,5.039999961853027
1998-02,5.179999828338623
1998-03,4.989999771118164
1998-04,4.849999904632568
1998-05,4.889999866485596
1998-06,4.96999979019165
1998-07,4.949999809265137
1998-08,4.760000228881836
1998-09,4.25
1998-10,4.210000038146973
1998-11,4.420000076293945
1998-12,4.349999904632568
1999-01,4.360000133514404
1999-02,4.550000190734863
1999-03,4.360000133514404
1999-04,4.429999828338623
1999-05,4.510000228881836
1999-06,4.670000076293945
1999-07,4.619999885559082
1999-08,4.849999904632568
1999-09,4.710000038146973
1999-10,4.960000038146973
1999-11,5.150000095367432
1999-12,5.170000076293945
2000-01,5.53000020980835
2000-02,5.639999866485596
2000-03,5.71999979019165
2000-04,5.650000095367432
2000-05,5.489999771118164
2000-06,5.699999809265137
2000-07,6.019999980926514
2000-08,6.110000133514404
2000-09,6.03000020980835
2000-10,6.150000095367432
2000-11,6.010000228881836
2000-12,5.730000019073486
2001-01,4.840000152587891
2001-02,4.71999979019165
2001-03,4.179999828338623
2001-04,3.8299999237060547
2001-05,3.5399999618530273
2001-06,3.559999942779541
2001-07,3.440000057220459
2001-08,3.2799999713897705
2001-09,2.299999952316284
2001-10,2.009999990463257
2001-11,1.7300000190734863
2001-12,1.6699999570846558
2002-01,1.7200000286102295
2002-02,1.7200000286102295
2002-03,1.7400000095367432
2002-04,1.7300000190734863
2002-05,1.7050000429153442
2002-06,1.659000039100647
2002-07,1.6649999618530273
2002-08,1.6449999809265137
2002-09,1.5269999504089355
2002-10,1.4170000553131104
2002-11,1.2020000219345093
2002-12,1.1820000410079956
2003-01,1.1480000019073486
2003-02,1.1749999523162842
2003-03,1.090000033378601
2003-04,1.1009999513626099
2003-05,1.0850000381469727
2003-06,0.8379999995231628
2003-07,0.9269999861717224
2003-08,0.9599999785423279
2003-09,0.9259999990463257
2003-10,0.9319999814033508
