Date,MSCI World
1994-08,76752.27193010425
1994-09,74718.66330793023
1994-10,76826.88689773923
1994-11,73477.82277350851
1994-12,74172.1246133733
1995-01,73040.97445872262
1995-02,74088.07117119989
1995-03,77641.08287363285
1995-04,80328.94359235994
1995-05,80997.92736201013
1995-06,80954.81649182105
1995-07,84987.08587098627
1995-08,83075.4121360926
1995-09,85477.12126526577
1995-10,84112.94282707821
1995-11,87015.14620069513
1995-12,89540.83096840026
1996-01,91142.11919262778
1996-02,91678.45413092694
1996-03,93185.03874238706
1996-04,95357.09958228373
1996-05,95420.42664455852
1996-06,95883.80472561464
1996-07,92475.94145594847
1996-08,93519.65817416536
1996-09,97161.8889703772
1996-10,97820.92407767609
1996-11,103283.37744332131
1996-12,101609.89764357005
1997-01,102815.40767194922
1997-02,103978.69965881191
1997-03,101902.55412773826
1997-04,105214.05567424507
1997-05,111689.04052804438
1997-06,117240.39412008545
1997-07,122620.96234176208
1997-08,114398.90309620228
1997-09,120594.56012244507
1997-10,114228.05395236121
1997-11,116229.96715665954
1997-12,117627.05270877841
1998-01,120885.55849622142
1998-02,129043.206530404
1998-03,134472.43391473484
1998-04,135766.333981697
1998-05,134044.57766015115
1998-06,137205.44625490258
1998-07,136964.9564746022
1998-08,118679.76148719747
1998-09,120758.33041038229
1998-10,131654.1564363381
1998-11,139462.8997799815
1998-12,146255.15767992093
1999-01,149436.4337871879
1999-02,145440.0051018781
1999-03,151474.3152322949
1999-04,157424.38060010842
1999-05,151650.71266860113
1999-06,158702.6561653008
1999-07,158205.15927425784
1999-08,157902.42658078505
1999-09,156349.86129268835
1999-10,164455.4701699563
1999-11,169060.68046299543
1999-12,182723.7014125825
2000-01,172238.76789643188
2000-02,172682.63129364495
2000-03,184596.79219412646
2000-04,176770.44737093843
2000-05,172274.0984024744
2000-06,178053.5697203533
2000-07,173019.86543796436
2000-08,178626.51063422722
2000-09,169107.49019482796
2000-10,166253.37202257582
2000-11,156138.7710851057
2000-12,158643.7294729122
2001-01,161698.67032301266
2001-02,148015.30563438666
2001-03,138268.35878957942
2001-04,148460.69959503843
2001-05,146526.13118204137
2001-06,141914.67108829436
2001-07,140017.79279997447
2001-08,133276.4261343707
2001-09,121514.87516341952
2001-10,123835.20933643696
2001-11,131142.50183348745
2001-12,131953.63668250374
2002-01,127942.60387105003
2002-02,126817.32087624757
2002-03,132403.62233347152
2002-04,127903.25563598101
2002-05,128116.5141417684
2002-06,120321.03568126015
2002-07,110168.61707215969
2002-08,110356.74882816237
2002-09,98206.43474379006
2002-10,105442.6835878958
2002-11,111111.6992442843
2002-12,105713.21067567998
2003-01,102491.69350467142
2003-02,100697.93692803163
2003-03,100365.5495679347
2003-04,109259.78125697521
2003-05,115480.37371257291
2003-06,117464.43034342017
2003-07,119836.03839163292
2003-08,122410.38232199225
2003-09,123147.09352380344
2003-10,130442.58792768087
2003-11,132414.14495711232
2003-12,140711.26558464332
2004-01,142969.10175058196
2004-02,145363.1580625618
2004-03,144398.58422881927
2004-04,141441.08925098053
2004-05,142729.75989286054
2004-06,145659.8322757565
2004-07,140904.05280443863
2004-08,141523.3570358088
2004-09,144200.63135741843
2004-10,147729.28159178596
2004-11,155489.68464015814
2004-12,161425.20965530435
2005-01,157790.82299671567
2005-02,162789.3243200153
2005-03,159629.34855393643
2005-04,156151.14313956822
2005-05,158925.54446605657
2005-06,160300.6919422212
2005-07,165900.25828258027
2005-08,167150.34597111066
2005-09,171491.85293836292
2005-10,167331.27132425626
2005-11,172906.66751697965
2005-12,176737.3489365773
2006-01,184629.25289372148
2006-02,184354.38920952778
2006-03,188408.1502503109
2006-04,194128.37600841813
2006-05,187497.14613692166
2006-06,187442.1734000829
2006-07,188611.97028155992
2006-08,193507.7963075157
2006-09,195815.12069130447
2006-10,203002.07263798986
2006-11,207973.21513982335
2006-12,212201.52418609103
2007-01,214706.61012085073
2007-02,213589.36258410127
2007-03,217499.1868881732
2007-04,227093.65135040335
2007-05,233454.290360639
2007-06,231653.5824750486
2007-07,226523.3251490705
2007-08,226351.45562960365
2007-09,237115.7169733108
2007-10,244388.44424603807
2007-11,234398.83932272566
2007-12,231374.8286087816
2008-01,213693.24957750068
2008-02,212456.42677210545
2008-03,210420.01211696054
2008-04,221479.28956347055
2008-05,224856.54156436338
2008-06,206922.54711265583
2008-07,201866.52211345301
2008-08,199030.5156085584
2008-09,175358.63014572236
2008-10,142110.45566149038
2008-11,132911.83316858514
2008-12,137176.11045566146
2009-01,125158.70029654667
2009-02,112347.56544753036
2009-03,120819.55294792895
2009-04,134373.0110646982
2009-05,146548.00548451897
2009-06,145886.86585249193
2009-07,158243.0407193648
2009-08,164771.34019961098
2009-09,171338.86036797296
2009-10,168290.55195944005
2009-11,175167.37348936577
2009-12,178312.87267625393
2010-01,170943.018398648
2010-02,173352.76298587414
2010-03,184088.58135901278
2010-04,184114.40961704028
2010-05,166478.4286215363
2010-06,160770.51114441504
2010-07,173804.66184114027
2010-08,167315.6468224865
2010-09,182917.1263671439
2010-10,189735.46761901723
2010-11,185639.1696693345
2010-12,199288.35177449696
2011-01,203790.6316762858
2011-02,210925.92710691624
